Keyword,EndRank,EndClicks,SearchVolume,03/2021,04/2021,05/2021,06/2021,07/2021,08/2021,09/2021,10/2021,11/2021,12/2021,01/2022,02/2022,03/2022,04/2022,05/2022,06/2022,07/2022,08/2022,09/2022,10/2022,11/2022,12/2022,01/2023,02/2023,03/2023,04/2023,05/2023,06/2023,07/2023,08/2023,09/2023,10/2023,11/2023,12/2023,01/2024,02/2024,03/2024,04/2024,05/2024,06/2024,07/2024,08/2024,09/2024,10/2024,11/2024,12/2024,description,TF-IDF_score
snapper concession,47,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,,77.0,63.0,,72.0,,49.0,,53.0,,43.0,,47.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.001873320978634287
how many years to get pr in new zealand,66,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0,,27.0,,29.0,,25.0,,66.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0025026861130228906
dunedin govt nz registration,34,0,0.0,,,,,,,,,,,,,60.0,,,,59.0,66.0,,,,,,,,,,,,,,,,,,,,,,,66.0,,,,34.0,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002170371110385726
pr requirements nz,18,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,,19.0,19.0,,25.0,,26.0,,26.0,,,,,18.0,,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0022137561615405118
new zealand transport department,86,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.0,90.0,,94.0,,,,,80.0,,80.0,,83.0,,86.0,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0021942936863306407
level 7 qualification nz,88,0,0.0,,,,,47.0,,28.0,,58.0,,,74.0,,,74.0,,70.0,83.0,,92.0,97.0,,71.0,71.0,,78.0,,,77.0,,84.0,83.0,,84.0,,,,,,,,,86.0,,,88.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0020489562266761637
sending money to new zealand,87,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.0,,72.0,67.0,,100.0,,,,,,,,,,87.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0021869324688413324
nz passport application.form pdf,58,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0,,44.0,50.0,,55.0,,,,,,,,,,,,58.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0022631391731193435
u-buy nz,79,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.0,,79.0,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002051707335880958
mortgage nz how much can i borrow,92,0,0.0,,,,,,,,,,,,,,,,,,,,,53.0,47.0,,51.0,,52.0,,,,,,,,,,,,,,,,,,92.0,,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0022741634851444516
dentist with payment plan,80,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002105185431382754
certificate of deposit nz,83,0,0.0,,,,,85.0,,85.0,,64.0,,66.0,,,56.0,,85.0,,87.0,62.0,,70.0,58.0,,59.0,,69.0,87.0,,74.0,71.0,,55.0,71.0,,,,,,74.0,,57.0,,,,,83.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0021668351931148264
how much can i earn on the pension nz,43,0,0.0,,,,,18.0,,16.0,,21.0,,15.0,,,23.0,,17.0,,18.0,19.0,,24.0,26.0,,25.0,,22.0,25.0,,19.0,25.0,,24.0,25.0,,28.0,,,,55.0,,43.0,,40.0,,43.0,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0024455598729906307
light show christchurch 2024 dates,97,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0022446242650624526
jobs in wanganui no experience,55,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0022220944349373322
uk visa for new zealand citizens,37,0,0.0,,,,,41.0,,22.0,,38.0,,40.0,,,51.0,,40.0,,45.0,51.0,,52.0,,,50.0,,,,,64.0,,68.0,,,48.0,59.0,,50.0,,52.0,,34.0,,44.0,,37.0,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.00224354164331746
financial assistance scheme,42,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,,41.0,,52.0,,35.0,,35.0,,31.0,,42.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0019336896015699327
sorted org nz,69,0,0.0,,,,,,,,,,,,,,,,,47.0,,38.0,58.0,,,,,,,,,,75.0,,47.0,63.0,,,90.0,,82.0,,75.0,,71.0,,69.0,,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0019957602850351453
massey university semester dates 2024,35,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,,17.0,,36.0,,43.0,,35.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002345125730336771
how much can i borrow nz,43,0,0.0,,,,,29.0,26.0,,36.0,,,38.0,,,28.0,34.0,,28.0,,27.0,32.0,,28.0,30.0,,39.0,,29.0,29.0,,44.0,38.0,,34.0,,36.0,47.0,,67.0,,43.0,,53.0,,45.0,,43.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002228999795207399
masters in nursing nz,80,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.0,,,,,,,,,,,,,,,,,,80.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002168978163452732
cheap dental care christchurch,49,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,49.0,,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002243348238377776
when is the nz budget announced,33,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,28.0,,,33.0,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0022603295838811506
uc enrolment,23,0,0.0,,59.0,,,,,,,,,58.0,,,,60.0,,,88.0,,90.0,61.0,,60.0,69.0,,57.0,,62.0,63.0,,54.0,,58.0,84.0,,92.0,,,,,,,,,,23.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0020160744510908223
nz transport registration,92,0,0.0,,,,,,,,,,,,,,,,94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.0,,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0020707785507089547
name change in nz,43,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,23.0,,28.0,,,,,,,,,,43.0,,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002259959260464732
traffic lights nz,71,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002000772347265596
need a part auckland,72,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0,,46.0,42.0,,54.0,,37.0,,49.0,,53.0,,34.0,,72.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002148708522220918
mortgage how much can i borrow nz,81,0,0.0,,,,,,,,,,,,,,40.0,,47.0,,39.0,42.0,,49.0,,,,48.0,,,54.0,,,,,,80.0,,,,,,,,,,81.0,,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0022741634851444516
aut enrolment,26,0,0.0,,,,,,,,60.0,,57.0,,,55.0,,78.0,,65.0,62.0,,,,,,,,,,,,,,,,,,,,,,,,43.0,,,,26.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002048726269185126
change in tax,15,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,14.0,,12.0,,13.0,,15.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002355206305624004
death in nz,82,0,0.0,,,,,65.0,,,,,,66.0,,,,,,57.0,,,,,,72.0,,79.0,,,,,,,,,,,,,,,,,,,,,82.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0021594625197222926
my credit score nz,65,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.0,,,,,,,,,,,65.0,,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0021130328015131943
dates for christmas,59,0,0.0,,,,,,,,,,,,,,,,,,,,,,11.0,,16.0,12.0,,12.0,,12.0,13.0,,23.0,,,23.0,,,44.0,,,44.0,,46.0,,59.0,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0020871689431664927
more-re,83,0,0.0,,,,,,,,,,,52.0,,,94.0,,,,,90.0,70.0,,83.0,,83.0,,,,93.0,,87.0,85.0,,68.0,,82.0,,,,,,,74.0,,83.0,,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0018970793312963472
1 year teaching degree nz,89,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.0,,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0021603665343589516
debt works,48,0,0.0,,,,,16.0,23.0,,15.0,,,10.0,,,13.0,13.0,,8.0,,7.0,11.0,,8.0,12.0,,12.0,,14.0,12.0,,19.0,26.0,,19.0,36.0,,34.0,,34.0,,21.0,,21.0,,22.0,,48.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.001977481575246138
class 1 license nz,95,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.0,,,,,,,,95.0,,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0019672867550101763
which course where,8,0,0.0,,13.0,,,8.0,,13.0,,8.0,,,11.0,,,3.0,,9.0,16.0,,16.0,,,19.0,,,,,25.0,,,,,,,,,,,,,4.0,,,,,8.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0019517269273196453
phd aut,78,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.0,75.0,,,,75.0,,73.0,,76.0,,78.0,,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002073440704866858
nz give way rules,83,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,,,,,,,,,,,,,,,,,,83.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.001973363169232313
midwife napier,81,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.0,,81.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002017175799532814
matariki long weekend,51,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,22.0,,,,,,,56.0,,,,,,51.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0020652755119811112
new zealand visa extension,75,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0022125143265549793
accommodation whangarei cbd,87,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.0,,79.0,,83.0,,87.0,,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0020675865582894058
teaching diploma nz,70,0,0.0,,,,,,,,,,,52.0,,,74.0,,,,,,,,,56.0,61.0,,58.0,63.0,,62.0,,59.0,,,61.0,,,,,,98.0,,88.0,,97.0,,70.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.00209839862173549
dental works,51,0,0.0,,,,,,,,,,,,,,,44.0,,16.0,24.0,,20.0,14.0,,41.0,,44.0,25.0,,43.0,60.0,,21.0,,,,,,,,,,,,,,,51.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0020370554770442737
cheap dentists chch,81,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.0,67.0,,,94.0,,41.0,,78.0,,67.0,,86.0,,81.0,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002092112936737465
anz go,78,0,0.0,,,,,,,,,,,,,,,,,,,88.0,,96.0,,,,,58.0,62.0,,65.0,50.0,,75.0,55.0,,72.0,,,,,,98.0,,,,78.0,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0021366051523543
teeth filling price nz,35,0,0.0,,,,,,,,37.0,,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,,,,35.0,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0020950228888874955
massey dental centre,91,0,0.0,,,80.0,,,,,,,,,,,,,,87.0,,,,,88.0,,84.0,,,,,,,,,,86.0,,,,94.0,,96.0,,89.0,,82.0,,91.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0021448007046350847
moving auckland reviews,81,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.0,,,,,,,,,,,,81.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002013875778744776
27 steps christchurch,84,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,85.0,89.0,,79.0,81.0,,77.0,,,75.0,,,,,,,,,,,97.0,,84.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0019139819844675415
anz travelling overseas,74,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.0,,60.0,,57.0,93.0,,80.0,,82.0,,87.0,,,,78.0,,74.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0020070931622196667
konnect nz,32,0,0.0,,,,,,,70.0,,,,,,,,,,,,,,,,64.0,72.0,,69.0,,,,,,,,,,,36.0,,38.0,,35.0,,33.0,,,32.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0019903804020638886
ncea change,96,0,0.0,,,,,,,,,,,,,,,,,,,,,,,63.0,,86.0,83.0,,74.0,75.0,,69.0,78.0,,,,,,,,,,,,,96.0,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002051303075218746
go car finance,94,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002115851906775153
easter weekend nz 2024,97,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,,76.0,,,,97.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0022329963680431894
traffic signals nz,54,0,0.0,,,,,,,,,,,,,,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,,54.0,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0019591925561151754
declare nz,56,0,0.0,,,,,,,,,,,,,,,,93.0,,11.0,18.0,,25.0,25.0,,23.0,,18.0,17.0,,91.0,52.0,,51.0,64.0,,62.0,,,,,,97.0,,79.0,,56.0,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0019903804020638886
real estate lower hutt nz,94,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0022292585563774884
cheap fridges nz,85,0,0.0,,,,,,,99.0,,,,,,,,,94.0,,96.0,,,,,,,,,,,,,,,,,,,,,98.0,,,,61.0,,85.0,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0020026590429663036
where can i watch the originals nz,55,0,0.0,,,,,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,46.0,,52.0,64.0,,74.0,,62.0,,70.0,,55.0,,55.0,,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.00219510975390198
bank jobs in auckland,88,0,0.0,,,,,,,,,,,,93.0,,,,,,,,,,94.0,,94.0,,,,,,,,,,,,,,,,,87.0,,,,88.0,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0024133295565511898
2 degrees top up number,85,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,94.0,,,90.0,92.0,,,,91.0,,,,,,,,,85.0,,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002154836542089451
aut grading,50,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.0,,50.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002073440704866858
j day new zealand,93,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0023450867645167933
uc past exam papers,87,0,0.0,,,,,73.0,,42.0,,36.0,,64.0,,,,,,,,,,,,,,,,,,,,,,,84.0,,,96.0,,83.0,,69.0,,77.0,,87.0,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0021286616013079258
enquire or inquire nz,61,0,0.0,,,,,,,,,,,,,,,,,,,41.0,,45.0,43.0,,32.0,,30.0,34.0,,30.0,44.0,,,,,,,,,,,,,,,61.0,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0020202088437534923
anz money machine near me,81,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.0,,81.0,,,,,,96.0,,,,81.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0022783456226085964
live and live meaning,85,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.0,,,,,,,,,,,85.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0016407215166420967
traffic rules in new zealand,98,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0022374544229358303
etfs nz,28,0,0.0,,,,,24.0,,26.0,15.0,,,,,,15.0,,15.0,,14.0,15.0,,16.0,15.0,,17.0,18.0,,20.0,,24.0,28.0,,17.0,30.0,,39.0,45.0,,46.0,,,37.0,,33.0,,28.0,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.001960433414564675
my access nz,94,0,0.0,,,,,,,47.0,,,46.0,,28.0,,78.0,,58.0,,14.0,,,47.0,78.0,,,,,,,,,,,,,,91.0,,,,,93.0,,82.0,,94.0,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0021066408769385174
visa partnership nz,87,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.0,,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002179374296223697
massey courses,43,0,0.0,,,,,30.0,,24.0,,24.0,,35.0,,,31.0,,38.0,,43.0,,,53.0,44.0,,44.0,,45.0,46.0,,52.0,79.0,,78.0,74.0,,60.0,,,,63.0,,67.0,,44.0,,43.0,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0022005028124641233
books for less nz,87,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,,,97.0,,,,,,,,,,,25.0,,87.0,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0019793590741243694
name change certificate nz,60,0,0.0,,30.0,,,25.0,,26.0,,24.0,,37.0,,,13.0,,16.0,,14.0,19.0,,26.0,,35.0,32.0,,30.0,42.0,,40.0,25.0,,29.0,27.0,,,,,,48.0,,64.0,,39.0,,60.0,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0022003049624910315
dcnz dental,55,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0,,54.0,59.0,,61.0,,65.0,,50.0,,,,61.0,,55.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0019246518262452023
midwife hastings,86,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.0,,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0019974507512826962
masters degree in new zealand,62,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0,,51.0,,62.0,,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002319725339139411
how much is secondary tax in new zealand,38,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,,27.0,,29.0,44.0,,47.0,,63.0,,44.0,,43.0,,38.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0025728831471499495
legal name change nz,23,0,0.0,,13.0,,,10.0,,12.0,,12.0,,,10.0,,,10.0,,14.0,9.0,,18.0,16.0,,15.0,14.0,,19.0,,20.0,14.0,,53.0,,17.0,,17.0,46.0,,44.0,,27.0,,73.0,,,,23.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002096443988201482
bachelor of science aut,60,0,0.0,,,,,,,,,,,,,,,,,,,,,81.0,,92.0,,,,,,,,,,,,,,,,,,,,,,,60.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0021702222736593884
free covid test christchurch,87,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.0,,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0021754769491305896
how many weeks till,86,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.0,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0020536122632786513
aut important dates,55,0,0.0,,,,,,,,,,,,,,40.0,,,,,,,46.0,,,,47.0,,63.0,,48.0,,,51.0,47.0,,78.0,,,61.0,,,61.0,,67.0,,55.0,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002118527606689779
teach teacher,75,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.001967655808788336
free snapper card wellington,60,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0,57.0,,73.0,,63.0,,60.0,,60.0,,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0021722395540097164
anz repayments,37,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0,,49.0,79.0,,,,92.0,,94.0,,70.0,,37.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002040472466116027
nz accommodation supplement,4,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,,3.0,3.0,,,,3.0,,3.0,,3.0,,4.0,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002211678508298272
smartstart nz,46,0,0.0,,,,,44.0,47.0,,39.0,,,41.0,,,42.0,39.0,,46.0,,42.0,36.0,,22.0,33.0,,31.0,,,37.0,,38.0,33.0,,31.0,,61.0,48.0,,49.0,,50.0,,46.0,,33.0,,46.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.001960433414564675
checks out meaning,83,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,54.0,,84.0,,83.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.00198968587179278
debt management nz,44,0,0.0,,,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,,44.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0020378524597017183
check this out meaning,82,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002141973510525799
etco portal,46,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.0,,78.0,,,,13.0,,,,46.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.001955050176240558
cheap dentist chch,100,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.0,,,92.0,,92.0,,,,98.0,,66.0,,100.0,,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002143893702767211
achievement nz,75,0,0.0,,,80.0,,76.0,,,,68.0,,,,,,,,,71.0,76.0,,70.0,,71.0,72.0,,71.0,72.0,,72.0,69.0,,,63.0,67.0,,90.0,,96.0,,85.0,,89.0,,76.0,,75.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.001919983351383907
masters degrees nz,24,0,0.0,,20.0,,,19.0,,14.0,,13.0,,,11.0,,,12.0,,11.0,11.0,,11.0,,,,9.0,,12.0,,,,,,,,,,,,,,,,,,24.0,,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0021014710400911593
temporary additional support,4,0,0.0,,,,,5.0,5.0,,5.0,,,5.0,,,3.0,3.0,,3.0,,3.0,3.0,,3.0,3.0,,5.0,,,3.0,,2.0,5.0,,5.0,,5.0,7.0,,6.0,,4.0,,4.0,,5.0,,4.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.00199349943910718
courses auckland university,60,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.0,,,,,,,,,,,,,60.0,,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0023389103027057433
uploads,84,0,0.0,,,,,25.0,26.0,,26.0,,35.0,,,,18.0,28.0,,21.0,,21.0,27.0,,23.0,23.0,,50.0,,33.0,43.0,,64.0,61.0,,56.0,55.0,,71.0,,66.0,,67.0,,92.0,,71.0,,84.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0018207033324922036
social work jobs wellington,98,0,0.0,,,,,71.0,,,,64.0,,74.0,,,,,,89.0,83.0,,88.0,96.0,,,,,,,,,,,,,,,,,,97.0,,,,88.0,,98.0,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002316083392455633
how long can you work without a break nz,57,0,0.0,,,45.0,,,,,,,,,,,,,47.0,,48.0,,35.0,,,37.0,,57.0,,35.0,35.0,,27.0,,26.0,32.0,,34.0,,,,,,62.0,,55.0,,57.0,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002357384238123099
online.glasses nz,42,0,0.0,,,,,,,,,,,,,,,,,,,,,,51.0,,60.0,55.0,,50.0,56.0,,59.0,,48.0,60.0,,76.0,80.0,,61.0,,73.0,,70.0,,42.0,,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0022276357569969434
who is entitled to a copy of a will nz,86,0,0.0,,,,,,,,,44.0,,,75.0,,,76.0,,64.0,70.0,,58.0,69.0,,63.0,,68.0,86.0,,79.0,26.0,,27.0,,34.0,41.0,,43.0,,68.0,,71.0,,90.0,,,,86.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002324549313241271
dental hygienist prices,86,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.0,,86.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0020538410710218423
traffic updates lower hutt,51,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0020663270331888776
free eye tests nz,46,0,0.0,,,,,33.0,,38.0,,51.0,,48.0,,,33.0,,63.0,,53.0,24.0,,24.0,16.0,,20.0,,32.0,,,,,,,,,,,,,,,,,,35.0,,46.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002096409034246473
new zealand visa price,81,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002339047609610771
overseas work,94,0,0.0,,,74.0,,67.0,,,41.0,,49.0,,,77.0,,,,,,,,,,,,,,,73.0,,,,81.0,,,,,,,,,,,,93.0,,94.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002187854848516258
