Keyword,EndRank,EndClicks,SearchVolume,03/2021,04/2021,05/2021,06/2021,07/2021,08/2021,09/2021,10/2021,11/2021,12/2021,01/2022,02/2022,03/2022,04/2022,05/2022,06/2022,07/2022,08/2022,09/2022,10/2022,11/2022,12/2022,01/2023,02/2023,03/2023,04/2023,05/2023,06/2023,07/2023,08/2023,09/2023,10/2023,11/2023,12/2023,01/2024,02/2024,03/2024,04/2024,05/2024,06/2024,07/2024,08/2024,09/2024,10/2024,11/2024,12/2024,description,TF-IDF_score
student job search palmerston north,84,0,0.0,,70.0,,,85.0,,58.0,,58.0,,37.0,,,71.0,,68.0,66.0,,56.0,52.0,,57.0,,40.0,,,41.0,,51.0,47.0,,57.0,73.0,,79.0,86.0,,71.0,,,76.0,,77.0,,84.0,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002230648737621965
student em,28,0,0.0,,,,,,,,,,,29.0,,44.0,,,,20.0,,93.0,14.0,,12.0,15.0,,28.0,27.0,,,27.0,,,,15.0,11.0,,18.0,,53.0,,16.0,,22.0,,15.0,,28.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.001858822601197072
vuw student health,58,0,0.0,,,,,,,,,,,,,,39.0,,,35.0,,,40.0,,46.0,55.0,,67.0,,,,,,48.0,,,,,,,,,,,,,58.0,,58.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002102870159473501
unitec student portal,25,0,0.0,,,,,51.0,60.0,,72.0,,,50.0,,,55.0,41.0,,66.0,,,85.0,,88.0,,,,,,,,,,,,,,,,,,34.0,,,,31.0,,25.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002119451813999086
student and laptop,7,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,87.0,,12.0,,14.0,,7.0,,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002023453811098324
student wintec,50,0,0.0,,,,,,,,67.0,,,46.0,,,42.0,,51.0,,45.0,,,38.0,45.0,,46.0,43.0,,48.0,48.0,,39.0,37.0,,41.0,,47.0,46.0,,36.0,,,38.0,,40.0,,50.0,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.001970333717796757
student housing wellington,78,0,0.0,,,58.0,,,52.0,,,,,,,,,,,,,,,,,,,,,,,,,68.0,,,77.0,,78.0,,79.0,,75.0,,69.0,,81.0,,78.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0020993705530882962
student jobs in auckland,55,0,0.0,,85.0,,,,,,,,,,,,,,,,,,,,,,59.0,,,,,,,64.0,,,,70.0,,,77.0,,,,,,,55.0,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0024619313102159585
student discount new zealand,58,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.0,,57.0,,61.0,77.0,,66.0,,66.0,,48.0,,60.0,,58.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0022383023726002395
jobs for students in auckland,97,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0024889523419132286
