Keyword,EndRank,EndClicks,SearchVolume,03/2021,04/2021,05/2021,06/2021,07/2021,08/2021,09/2021,10/2021,11/2021,12/2021,01/2022,02/2022,03/2022,04/2022,05/2022,06/2022,07/2022,08/2022,09/2022,10/2022,11/2022,12/2022,01/2023,02/2023,03/2023,04/2023,05/2023,06/2023,07/2023,08/2023,09/2023,10/2023,11/2023,12/2023,01/2024,02/2024,03/2024,04/2024,05/2024,06/2024,07/2024,08/2024,09/2024,10/2024,11/2024,12/2024,description,TF-IDF_score
official information act requests,28,0,0.0,,,,,,,,,,,,,,22.0,,28.0,,25.0,27.0,,18.0,15.0,,17.0,23.0,,17.0,,23.0,27.0,,25.0,22.0,,29.0,24.0,,25.0,,,25.0,,24.0,,28.0,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.001654948822356074
new zealand employment relations act,87,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.0,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0016757236843493643
employment relations act nz,85,0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0017092115185688317
nz employment relations act,79,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.0,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0017092115185688317
legal aid,3,30,540.0,,,,,10.0,15.0,,13.0,,,16.0,,,14.0,14.0,,10.0,,11.0,10.0,,9.0,6.0,,11.0,,7.0,81.0,,11.0,41.0,,6.0,12.0,,10.0,,10.0,,6.0,,6.0,,5.0,,3.0,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0017190710107219697
legal aid nz,9,7,360.0,,,,,16.0,16.0,,29.0,,25.0,,,,42.0,40.0,,22.0,,12.0,26.0,,18.0,10.0,,28.0,,21.0,18.0,,,14.0,,14.0,14.0,,,,14.0,,13.0,,12.0,,9.0,,9.0,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0017766000903353088
legal aid provider,83,0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.0,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0016102736803483121
wellington legal aid,55,0,0.0,,,,,,,,,94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,,46.0,,41.0,,22.0,,55.0,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0017579117477053705
legal aid in new zealand,11,0,0.0,,,,,,19.0,,31.0,,,44.0,,,,,,,,,,44.0,36.0,,40.0,,36.0,44.0,,38.0,20.0,,22.0,26.0,,48.0,,,,17.0,,14.0,,13.0,,11.0,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0017858702544409286
legal aid 0800 number,6,0,0.0,,,,,,,,,,,,,,,11.0,,10.0,9.0,,9.0,,6.0,9.0,,5.0,9.0,,11.0,5.0,,7.0,7.0,,7.0,,6.0,,5.0,,8.0,,6.0,7.0,,6.0,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0017564791203343777
