title,h1_tags,word_count,keywords,description,DC.Description,snapshot_url,Timestamp
Work and Income - Work and Income,['Home'],523,"Work, income",Work and Income provides employment services and financial assistance throughout New Zealand.,Work and Income provides employment services and financial assistance throughout New Zealand.,https://web.archive.org/web/20161024154840/http://www.workandincome.govt.nz/,24/10/2016 15:48
Work and Income - Work and Income,['Home'],553,"Work, income",Work and Income provides employment services and financial assistance throughout New Zealand.,Work and Income provides employment services and financial assistance throughout New Zealand.,https://web.archive.org/web/20161025203755/http://www.workandincome.govt.nz:80/,25/10/2016 20:37
Work and Income - Work and Income,['Home'],553,"Work, income",Work and Income provides employment services and financial assistance throughout New Zealand.,Work and Income provides employment services and financial assistance throughout New Zealand.,https://web.archive.org/web/20161107090523/http://www.workandincome.govt.nz:80/,7/11/2016 9:05
Work and Income - Work and Income,['Home'],568,"Work, income",Work and Income provides employment services and financial assistance throughout New Zealand.,Work and Income provides employment services and financial assistance throughout New Zealand.,https://web.archive.org/web/20170126175510/https://www.workandincome.govt.nz/,26/01/2017 17:55
Work and Income - Work and Income,['Home'],578,"Work, income",Work and Income provides employment services and financial assistance throughout New Zealand.,Work and Income provides employment services and financial assistance throughout New Zealand.,https://web.archive.org/web/20170210022051/https://www.workandincome.govt.nz/,10/02/2017 2:20
Work and Income - Work and Income,['Home'],574,"Work, income",Work and Income provides employment services and financial assistance throughout New Zealand.,Work and Income provides employment services and financial assistance throughout New Zealand.,https://web.archive.org/web/20170312231538/http://workandincome.govt.nz/,12/03/2017 23:15
Work and Income - Work and Income,['Home'],574,"Work, income",Work and Income provides employment services and financial assistance throughout New Zealand.,Work and Income provides employment services and financial assistance throughout New Zealand.,https://web.archive.org/web/20170402184455/https://www.workandincome.govt.nz/,2/04/2017 18:44
Work and Income - Work and Income,['Home'],563,"Work, income",Work and Income provides employment services and financial assistance throughout New Zealand.,Work and Income provides employment services and financial assistance throughout New Zealand.,https://web.archive.org/web/20170403103012/http://www.workandincome.govt.nz/,3/04/2017 10:30
Work and Income - Work and Income,['Home'],563,"Work, income",Work and Income provides employment services and financial assistance throughout New Zealand.,Work and Income provides employment services and financial assistance throughout New Zealand.,https://web.archive.org/web/20170403103020/https://www.workandincome.govt.nz/,3/04/2017 10:30
Work and Income - Work and Income,['Home'],567,"Work, income",Work and Income provides employment services and financial assistance throughout New Zealand.,Work and Income provides employment services and financial assistance throughout New Zealand.,https://web.archive.org/web/20170406044129/http://workandincome.govt.nz/,6/04/2017 4:41
Work and Income - Work and Income,['Home'],567,"Work, income",Work and Income provides employment services and financial assistance throughout New Zealand.,Work and Income provides employment services and financial assistance throughout New Zealand.,https://web.archive.org/web/20170406044133/https://workandincome.govt.nz/,6/04/2017 4:41
Work and Income - Work and Income,['Home'],567,"Work, income",Work and Income provides employment services and financial assistance throughout New Zealand.,Work and Income provides employment services and financial assistance throughout New Zealand.,https://web.archive.org/web/20170406050042/http://www.workandincome.govt.nz/,6/04/2017 5:00
Work and Income - Work and Income,['Home'],567,"Work, income",Work and Income provides employment services and financial assistance throughout New Zealand.,Work and Income provides employment services and financial assistance throughout New Zealand.,https://web.archive.org/web/20170406050046/https://www.workandincome.govt.nz/,6/04/2017 5:00
Work and Income - Work and Income,['Home'],567,"Work, income",Work and Income provides employment services and financial assistance throughout New Zealand.,Work and Income provides employment services and financial assistance throughout New Zealand.,https://web.archive.org/web/20170406050053/http://www.workandincome.govt.nz/,6/04/2017 5:00
Work and Income - Work and Income,['Home'],567,"Work, income",Work and Income provides employment services and financial assistance throughout New Zealand.,Work and Income provides employment services and financial assistance throughout New Zealand.,https://web.archive.org/web/20170406050115/https://www.workandincome.govt.nz//,6/04/2017 5:01
Work and Income - Work and Income,['Home'],567,"Work, income",Work and Income provides employment services and financial assistance throughout New Zealand.,Work and Income provides employment services and financial assistance throughout New Zealand.,https://web.archive.org/web/20170503101555/http://www.workandincome.govt.nz/,3/05/2017 10:15
Work and Income - Work and Income,['Home'],595,"Work, income",Work and Income provides employment services and financial assistance throughout New Zealand.,Work and Income provides employment services and financial assistance throughout New Zealand.,https://web.archive.org/web/20170603211116/https://workandincome.govt.nz/,3/06/2017 21:11
Work and Income - Work and Income,['Home'],595,"Work, income",Work and Income provides employment services and financial assistance throughout New Zealand.,Work and Income provides employment services and financial assistance throughout New Zealand.,https://web.archive.org/web/20170603213914/http://www.workandincome.govt.nz/,3/06/2017 21:39
Work and Income - Work and Income,['Home'],595,"Work, income",Work and Income provides employment services and financial assistance throughout New Zealand.,Work and Income provides employment services and financial assistance throughout New Zealand.,https://web.archive.org/web/20170722025637/https://www.workandincome.govt.nz/,22/07/2017 2:56
Work and Income - Work and Income,['Home'],595,"Work, income",Work and Income provides employment services and financial assistance throughout New Zealand.,Work and Income provides employment services and financial assistance throughout New Zealand.,https://web.archive.org/web/20170802133614/http://workandincome.govt.nz:80/,2/08/2017 13:36
Work and Income - Work and Income,['Home'],606,"Work, income",Work and Income provides employment services and financial assistance throughout New Zealand.,Work and Income provides employment services and financial assistance throughout New Zealand.,https://web.archive.org/web/20170829095452/https://www.workandincome.govt.nz/,29/08/2017 9:54
Work and Income - Work and Income,['Home'],594,"Work, income",Work and Income provides employment services and financial assistance throughout New Zealand.,Work and Income provides employment services and financial assistance throughout New Zealand.,https://web.archive.org/web/20170910123558/http://www.workandincome.govt.nz/,10/09/2017 12:35
Work and Income - Work and Income,['Home'],594,"Work, income",Work and Income provides employment services and financial assistance throughout New Zealand.,Work and Income provides employment services and financial assistance throughout New Zealand.,https://web.archive.org/web/20170912135439/https://www.workandincome.govt.nz/,12/09/2017 13:54
